step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	0.500000	[0.5]	2.420573	0.000000	0	0
2	0.000000	0.500000	[0.5]	2.420573	0.000000	0	0
3	1.000000	0.500000	[0.5]	2.420573	1.000000	0	0
4	3.000000	0.500000	[0.5]	2.420573	4.000000	0	0
5	6.000000	0.500000	[0.5]	2.420573	10.000000	0	0
6	0.000000	0.500000	[0.5]	2.420573	10.000000	0	0
7	1.000000	0.500000	[0.5]	2.420573	11.000000	0	0
8	3.000000	0.500000	[0.5]	2.420573	14.000000	0	0
9	0.000000	0.500000	[0.5]	2.420573	14.000000	0	0
10	0.000000	0.500000	[0.5]	2.420573	14.000000	0	0
11	15.000000	0.500000	[0.5]	2.420573	29.000000	0	0
12	0.000000	0.500000	[0.5]	2.420573	29.000000	0	0
13	0.000000	-0.500000	[-0.5]	2.420573	29.000000	0	0
14	10.000000	0.500000	[0.5]	2.420573	39.000000	0	0
15	3.000000	-0.077816	[-0.07781553268432617]	2.420573	42.000000	0	0
16	6.000000	0.500000	[0.5]	2.420573	48.000000	0	0
17	0.000000	0.500000	[0.5]	2.420573	48.000000	0	0
18	1.000000	0.500000	[0.5]	2.420573	49.000000	0	0
19	0.000000	0.500000	[0.5]	2.420573	49.000000	0	0
20	0.000000	0.500000	[0.5]	2.420573	49.000000	0	0
21	0.000000	0.500000	[0.5]	2.420573	49.000000	0	0
22	10.000000	0.500000	[0.5]	2.420573	59.000000	0	0
23	6.000000	0.500000	[0.5]	2.420573	65.000000	0	0
24	0.000000	0.500000	[0.5]	2.420573	65.000000	0	0
25	0.000000	0.500000	[0.5]	2.420573	65.000000	0	0
26	0.000000	0.500000	[0.5]	2.420573	65.000000	0	0
27	39.000000	0.500000	[0.5]	2.420573	104.000000	0	0
28	20.000000	0.500000	[0.5]	2.420573	124.000000	0	0
29	15.000000	0.500000	[0.5]	2.420573	139.000000	0	0
30	0.000000	0.500000	[0.5]	2.420573	139.000000	0	0
31	0.000000	0.500000	[0.5]	2.420573	139.000000	0	0
32	10.000000	0.500000	[0.5]	2.420573	149.000000	0	0
33	15.000000	0.500000	[0.5]	2.420573	164.000000	0	0
34	0.000000	0.500000	[0.5]	2.420573	164.000000	0	0
35	0.000000	0.500000	[0.5]	2.420573	164.000000	0	0
36	0.000000	0.500000	[0.5]	2.420573	164.000000	0	0
37	16.000000	0.500000	[0.5]	2.420573	180.000000	0	0
38	3.000000	0.500000	[0.5]	2.420573	183.000000	0	0
39	52.000000	0.500000	[0.5]	2.420573	235.000000	0	0
40	0.000000	0.500000	[0.5]	2.420573	235.000000	0	0
41	15.000000	0.500000	[0.5]	2.420573	250.000000	0	0
42	29.000000	0.500000	[0.5]	2.420573	279.000000	0	0
43	0.000000	0.500000	[0.5]	2.420573	279.000000	0	0
44	3.000000	0.500000	[0.5]	2.420573	282.000000	0	0
45	16.000000	0.500000	[0.5]	2.420573	298.000000	0	0
46	0.000000	0.500000	[0.5]	2.420573	298.000000	0	0
47	0.000000	0.500000	[0.5]	2.420573	298.000000	0	0
48	0.000000	0.500000	[0.5]	2.420573	298.000000	0	0
49	15.000000	0.500000	[0.5]	2.420573	313.000000	0	0
50	16.000000	0.500000	[0.5]	2.420573	329.000000	0	0
51	3.000000	0.500000	[0.5]	2.420573	332.000000	0	0
52	0.000000	0.500000	[0.5]	2.420573	332.000000	0	0
53	0.000000	0.500000	[0.5]	2.420573	332.000000	0	0
54	36.000000	0.500000	[0.5]	2.420573	368.000000	0	0
55	0.000000	0.500000	[0.5]	2.420573	368.000000	0	0
56	0.000000	0.500000	[0.5]	2.420573	368.000000	0	0
57	0.000000	0.500000	[0.5]	2.420573	368.000000	0	0
58	16.000000	0.500000	[0.5]	2.420573	384.000000	0	0
59	25.000000	0.500000	[0.5]	2.420573	409.000000	0	0
60	0.000000	0.500000	[0.5]	2.420573	409.000000	0	0
61	0.000000	0.500000	[0.5]	2.420573	409.000000	0	0
62	64.000000	0.500000	[0.5]	2.420573	473.000000	0	0
63	36.000000	0.500000	[0.5]	2.420573	509.000000	0	0
64	15.000000	0.500000	[0.5]	2.420573	524.000000	0	0
65	0.000000	0.500000	[0.5]	2.420573	524.000000	0	0
66	0.000000	0.500000	[0.5]	2.420573	524.000000	0	0
67	0.000000	0.500000	[0.5]	2.420573	524.000000	0	0
68	3.000000	0.500000	[0.5]	2.420573	527.000000	0	0
69	10.000000	0.500000	[0.5]	2.420573	537.000000	0	0
70	0.000000	0.500000	[0.5]	2.420573	537.000000	0	0
71	0.000000	0.500000	[0.5]	2.420573	537.000000	0	0
72	0.000000	0.500000	[0.5]	2.420573	537.000000	0	0
73	0.000000	0.500000	[0.5]	2.420573	537.000000	0	0
74	15.000000	0.500000	[0.5]	2.420573	552.000000	0	0
75	0.000000	0.500000	[0.5]	2.420573	552.000000	0	0
76	19.000000	0.500000	[0.5]	2.420573	571.000000	0	0
77	0.000000	0.500000	[0.5]	2.420573	571.000000	0	0
78	0.000000	0.500000	[0.5]	2.420573	571.000000	0	0
79	0.000000	0.500000	[0.5]	2.420573	571.000000	0	0
80	0.000000	0.500000	[0.5]	2.420573	571.000000	0	0
81	0.000000	0.500000	[0.5]	2.420573	571.000000	0	0
82	0.000000	0.500000	[0.5]	2.420573	571.000000	0	0
83	0.000000	0.500000	[0.5]	2.420573	571.000000	0	0
