step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	0.500000	[0.5]	1.573798	0.000000	0	0
2	0.000000	0.500000	[0.5]	1.573798	0.000000	0	0
3	1.000000	0.500000	[0.5]	1.573798	1.000000	0	0
4	0.000000	0.500000	[0.5]	1.573798	1.000000	0	0
5	0.000000	0.500000	[0.5]	1.573798	1.000000	0	0
6	0.000000	0.500000	[0.5]	1.573798	1.000000	0	0
7	0.000000	0.500000	[0.5]	1.573798	1.000000	0	0
8	0.000000	0.500000	[0.5]	1.573798	1.000000	0	0
9	10.000000	0.500000	[0.5]	1.573798	11.000000	0	0
10	21.000000	0.500000	[0.5]	1.573798	32.000000	0	0
11	0.000000	0.500000	[0.5]	1.573798	32.000000	0	0
12	0.000000	0.500000	[0.5]	1.573798	32.000000	0	0
13	25.000000	-0.500000	[-0.5]	1.573798	57.000000	0	0
14	6.000000	0.500000	[0.5]	1.573798	63.000000	0	0
15	0.000000	-0.500000	[-0.5]	1.573798	63.000000	0	0
16	0.000000	0.500000	[0.5]	1.573798	63.000000	0	0
17	14.000000	0.500000	[0.5]	1.573798	77.000000	0	0
18	36.000000	0.500000	[0.5]	1.573798	113.000000	0	0
19	0.000000	0.500000	[0.5]	1.573798	113.000000	0	0
20	0.000000	0.500000	[0.5]	1.573798	113.000000	0	0
21	3.000000	0.500000	[0.5]	1.573798	116.000000	0	0
22	0.000000	0.500000	[0.5]	1.573798	116.000000	0	0
23	0.000000	0.500000	[0.5]	1.573798	116.000000	0	0
24	10.000000	0.500000	[0.5]	1.573798	126.000000	0	0
25	31.000000	-0.008457	[-0.008456707000732422]	1.573798	157.000000	0	0
26	0.000000	0.500000	[0.5]	1.573798	157.000000	0	0
27	0.000000	0.500000	[0.5]	1.573798	157.000000	0	0
28	0.000000	0.500000	[0.5]	1.573798	157.000000	0	0
29	3.000000	0.500000	[0.5]	1.573798	160.000000	0	0
30	0.000000	0.500000	[0.5]	1.573798	160.000000	0	0
31	0.000000	0.500000	[0.5]	1.573798	160.000000	0	0
32	0.000000	0.500000	[0.5]	1.573798	160.000000	0	0
33	6.000000	0.500000	[0.5]	1.573798	166.000000	0	0
34	0.000000	-0.102812	[-0.10281181335449219]	1.573798	166.000000	0	0
35	0.000000	0.500000	[0.5]	1.573798	166.000000	0	0
36	15.000000	0.500000	[0.5]	1.573798	181.000000	0	0
37	0.000000	0.500000	[0.5]	1.573798	181.000000	0	0
38	0.000000	0.500000	[0.5]	1.573798	181.000000	0	0
39	55.000000	0.500000	[0.5]	1.573798	236.000000	0	0
40	64.000000	0.500000	[0.5]	1.573798	300.000000	0	0
41	0.000000	0.500000	[0.5]	1.573798	300.000000	0	0
42	6.000000	0.500000	[0.5]	1.573798	306.000000	0	0
43	0.000000	0.500000	[0.5]	1.573798	306.000000	0	0
44	0.000000	0.500000	[0.5]	1.573798	306.000000	0	0
45	10.000000	0.500000	[0.5]	1.573798	316.000000	0	0
46	0.000000	0.500000	[0.5]	1.573798	316.000000	0	0
47	0.000000	0.500000	[0.5]	1.573798	316.000000	0	0
48	19.000000	0.500000	[0.5]	1.573798	335.000000	0	0
49	0.000000	0.500000	[0.5]	1.573798	335.000000	0	0
50	0.000000	0.500000	[0.5]	1.573798	335.000000	0	0
51	15.000000	0.046238	[0.04623842239379883]	1.573798	350.000000	0	0
52	36.000000	0.500000	[0.5]	1.573798	386.000000	0	0
53	3.000000	0.500000	[0.5]	1.573798	389.000000	0	0
54	28.000000	0.500000	[0.5]	1.573798	417.000000	0	0
55	10.000000	0.500000	[0.5]	1.573798	427.000000	0	0
56	0.000000	0.500000	[0.5]	1.573798	427.000000	0	0
57	16.000000	0.500000	[0.5]	1.573798	443.000000	0	0
58	0.000000	0.500000	[0.5]	1.573798	443.000000	0	0
59	0.000000	0.500000	[0.5]	1.573798	443.000000	0	0
60	10.000000	0.500000	[0.5]	1.573798	453.000000	0	0
61	0.000000	0.500000	[0.5]	1.573798	453.000000	0	0
62	0.000000	0.500000	[0.5]	1.573798	453.000000	0	0
63	9.000000	0.500000	[0.5]	1.573798	462.000000	0	0
64	0.000000	0.500000	[0.5]	1.573798	462.000000	0	0
65	36.000000	0.500000	[0.5]	1.573798	498.000000	0	0
66	0.000000	0.500000	[0.5]	1.573798	498.000000	0	0
67	15.000000	0.500000	[0.5]	1.573798	513.000000	0	0
68	0.000000	0.500000	[0.5]	1.573798	513.000000	0	0
69	0.000000	0.500000	[0.5]	1.573798	513.000000	0	0
70	0.000000	0.500000	[0.5]	1.573798	513.000000	0	0
71	0.000000	0.500000	[0.5]	1.573798	513.000000	0	0
72	100.000000	-0.500000	[-0.5]	1.573798	613.000000	0	0
73	10.000000	0.500000	[0.5]	1.573798	623.000000	0	0
74	1.000000	0.500000	[0.5]	1.573798	624.000000	0	0
75	34.000000	0.394872	[0.39487218856811523]	1.573798	658.000000	0	0
76	0.000000	0.500000	[0.5]	1.573798	658.000000	0	0
77	19.000000	0.500000	[0.5]	1.573798	677.000000	0	0
78	36.000000	0.500000	[0.5]	1.573798	713.000000	0	0
79	0.000000	0.500000	[0.5]	1.573798	713.000000	0	0
80	0.000000	0.500000	[0.5]	1.573798	713.000000	0	0
81	4.000000	0.500000	[0.5]	1.573798	717.000000	0	0
82	6.000000	0.500000	[0.5]	1.573798	723.000000	0	0
83	3.000000	0.500000	[0.5]	1.573798	726.000000	0	0
84	6.000000	0.500000	[0.5]	1.573798	732.000000	0	0
85	0.000000	0.500000	[0.5]	1.573798	732.000000	0	0
86	25.000000	0.500000	[0.5]	1.573798	757.000000	0	0
87	1.000000	0.500000	[0.5]	1.573798	758.000000	0	0
88	0.000000	0.500000	[0.5]	1.573798	758.000000	0	0
89	0.000000	0.500000	[0.5]	1.573798	758.000000	0	0
90	19.000000	0.500000	[0.5]	1.573798	777.000000	0	0
91	0.000000	0.500000	[0.5]	1.573798	777.000000	0	0
92	0.000000	0.500000	[0.5]	1.573798	777.000000	0	0
93	0.000000	0.500000	[0.5]	1.573798	777.000000	0	0
94	0.000000	0.500000	[0.5]	1.573798	777.000000	0	0
95	3.000000	-0.204557	[-0.20455694198608398]	1.573798	780.000000	0	0
96	0.000000	0.500000	[0.5]	1.573798	780.000000	0	0
97	3.000000	0.500000	[0.5]	1.573798	783.000000	0	0
98	0.000000	0.500000	[0.5]	1.573798	783.000000	0	0
99	0.000000	0.500000	[0.5]	1.573798	783.000000	0	0
100	0.000000	0.500000	[0.5]	1.573798	783.000000	0	0
101	63.000000	0.500000	[0.5]	1.573798	846.000000	0	0
102	0.000000	0.500000	[0.5]	1.573798	846.000000	0	0
103	0.000000	0.500000	[0.5]	1.573798	846.000000	0	0
104	1.000000	0.500000	[0.5]	1.573798	847.000000	0	0
105	0.000000	0.500000	[0.5]	1.573798	847.000000	0	0
106	0.000000	0.500000	[0.5]	1.573798	847.000000	0	0
107	0.000000	0.500000	[0.5]	1.573798	847.000000	0	0
108	0.000000	0.500000	[0.5]	1.573798	847.000000	0	0
109	16.000000	0.500000	[0.5]	1.573798	863.000000	0	0
110	0.000000	0.112226	[0.11222553253173828]	1.573798	863.000000	0	0
111	0.000000	-0.270071	[-0.27007079124450684]	1.573798	863.000000	0	0
112	0.000000	0.500000	[0.5]	1.573798	863.000000	0	0
113	0.000000	0.500000	[0.5]	1.573798	863.000000	0	0
114	6.000000	0.500000	[0.5]	1.573798	869.000000	0	0
115	15.000000	0.500000	[0.5]	1.573798	884.000000	0	0
116	15.000000	-0.494477	[-0.4944765567779541]	1.573798	899.000000	0	0
117	0.000000	0.500000	[0.5]	1.573798	899.000000	0	0
118	0.000000	0.500000	[0.5]	1.573798	899.000000	0	0
119	0.000000	0.500000	[0.5]	1.573798	899.000000	0	0
120	1.000000	0.500000	[0.5]	1.573798	900.000000	0	0
121	0.000000	0.088877	[0.08887743949890137]	1.573798	900.000000	0	0
122	0.000000	0.500000	[0.5]	1.573798	900.000000	0	0
123	10.000000	0.500000	[0.5]	1.573798	910.000000	0	0
124	34.000000	0.500000	[0.5]	1.573798	944.000000	0	0
125	55.000000	0.500000	[0.5]	1.573798	999.000000	0	0
126	0.000000	0.500000	[0.5]	1.573798	999.000000	0	0
127	0.000000	0.326487	[0.3264874219894409]	1.573798	999.000000	0	0
128	10.000000	0.500000	[0.5]	1.573798	1009.000000	0	0
129	0.000000	0.500000	[0.5]	1.573798	1009.000000	0	0
130	3.000000	-0.189896	[-0.1898958683013916]	1.573798	1012.000000	0	0
131	1.000000	0.500000	[0.5]	1.573798	1013.000000	0	0
132	0.000000	0.500000	[0.5]	1.573798	1013.000000	0	0
133	9.000000	0.500000	[0.5]	1.573798	1022.000000	0	0
134	25.000000	0.500000	[0.5]	1.573798	1047.000000	0	0
135	36.000000	0.500000	[0.5]	1.573798	1083.000000	0	0
136	0.000000	0.500000	[0.5]	1.573798	1083.000000	0	0
137	0.000000	0.500000	[0.5]	1.573798	1083.000000	0	0
138	15.000000	0.500000	[0.5]	1.573798	1098.000000	0	0
139	31.000000	0.500000	[0.5]	1.573798	1129.000000	0	0
140	0.000000	-0.340905	[-0.34090518951416016]	1.573798	1129.000000	0	0
141	6.000000	0.500000	[0.5]	1.573798	1135.000000	0	0
142	0.000000	0.500000	[0.5]	1.573798	1135.000000	0	0
143	0.000000	0.500000	[0.5]	1.573798	1135.000000	0	0
144	0.000000	0.500000	[0.5]	1.573798	1135.000000	0	0
145	9.000000	0.475211	[0.4752105474472046]	1.573798	1144.000000	0	0
146	0.000000	0.500000	[0.5]	1.573798	1144.000000	0	0
147	11.000000	0.500000	[0.5]	1.573798	1155.000000	0	0
148	-500.000000	0.500000	[0.5]	1.573798	1155.000000	1	0
