step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.500000	[-0.5]	3.231977	0.000000	0	0
2	1.000000	-0.484433	[-0.4844333827495575]	3.231977	1.000000	0	0
3	0.000000	0.500000	[0.5]	3.231977	1.000000	0	0
4	0.000000	-0.500000	[-0.5]	3.231977	1.000000	0	0
5	0.000000	0.500000	[0.5]	3.231977	1.000000	0	0
6	0.000000	-0.500000	[-0.5]	3.231977	1.000000	0	0
7	0.000000	-0.500000	[-0.5]	3.231977	1.000000	0	0
8	0.000000	0.081790	[0.08178964257240295]	3.231977	1.000000	0	0
9	0.000000	0.500000	[0.5]	3.231977	1.000000	0	0
10	0.000000	0.500000	[0.5]	3.231977	1.000000	0	0
11	0.000000	0.500000	[0.5]	3.231977	1.000000	0	0
12	15.000000	-0.500000	[-0.5]	3.231977	16.000000	0	0
13	0.000000	-0.500000	[-0.5]	3.231977	16.000000	0	0
14	10.000000	-0.500000	[-0.5]	3.231977	26.000000	0	0
15	36.000000	-0.500000	[-0.5]	3.231977	62.000000	0	0
16	0.000000	0.500000	[0.5]	3.231977	62.000000	0	0
17	6.000000	-0.500000	[-0.5]	3.231977	68.000000	0	0
18	15.000000	0.238513	[0.23851269483566284]	3.231977	83.000000	0	0
19	0.000000	-0.500000	[-0.5]	3.231977	83.000000	0	0
20	4.000000	0.500000	[0.5]	3.231977	87.000000	0	0
21	0.000000	0.500000	[0.5]	3.231977	87.000000	0	0
22	3.000000	-0.500000	[-0.5]	3.231977	90.000000	0	0
23	16.000000	-0.500000	[-0.5]	3.231977	106.000000	0	0
24	0.000000	-0.500000	[-0.5]	3.231977	106.000000	0	0
25	0.000000	0.500000	[0.5]	3.231977	106.000000	0	0
26	1.000000	0.500000	[0.5]	3.231977	107.000000	0	0
27	9.000000	0.500000	[0.5]	3.231977	116.000000	0	0
28	10.000000	0.500000	[0.5]	3.231977	126.000000	0	0
29	0.000000	-0.500000	[-0.5]	3.231977	126.000000	0	0
30	3.000000	-0.500000	[-0.5]	3.231977	129.000000	0	0
31	0.000000	-0.500000	[-0.5]	3.231977	129.000000	0	0
32	0.000000	-0.500000	[-0.5]	3.231977	129.000000	0	0
33	0.000000	0.500000	[0.5]	3.231977	129.000000	0	0
34	0.000000	0.500000	[0.5]	3.231977	129.000000	0	0
35	0.000000	0.500000	[0.5]	3.231977	129.000000	0	0
36	0.000000	-0.500000	[-0.5]	3.231977	129.000000	0	0
37	0.000000	-0.172073	[-0.17207306623458862]	3.231977	129.000000	0	0
38	0.000000	-0.500000	[-0.5]	3.231977	129.000000	0	0
39	0.000000	-0.320204	[-0.3202042877674103]	3.231977	129.000000	0	0
40	120.000000	-0.500000	[-0.5]	3.231977	249.000000	0	0
41	50.000000	-0.500000	[-0.5]	3.231977	299.000000	0	0
42	25.000000	0.500000	[0.5]	3.231977	324.000000	0	0
43	0.000000	-0.500000	[-0.5]	3.231977	324.000000	0	0
44	3.000000	-0.481029	[-0.4810287654399872]	3.231977	327.000000	0	0
45	0.000000	-0.500000	[-0.5]	3.231977	327.000000	0	0
46	19.000000	-0.500000	[-0.5]	3.231977	346.000000	0	0
47	0.000000	0.500000	[0.5]	3.231977	346.000000	0	0
48	0.000000	-0.101841	[-0.10184088349342346]	3.231977	346.000000	0	0
49	0.000000	-0.500000	[-0.5]	3.231977	346.000000	0	0
50	0.000000	0.220138	[0.22013801336288452]	3.231977	346.000000	0	0
51	25.000000	-0.438712	[-0.43871161341667175]	3.231977	371.000000	0	0
52	0.000000	0.500000	[0.5]	3.231977	371.000000	0	0
53	0.000000	-0.500000	[-0.5]	3.231977	371.000000	0	0
54	3.000000	0.500000	[0.5]	3.231977	374.000000	0	0
55	0.000000	-0.133340	[-0.13334020972251892]	3.231977	374.000000	0	0
56	1.000000	-0.500000	[-0.5]	3.231977	375.000000	0	0
57	0.000000	-0.500000	[-0.5]	3.231977	375.000000	0	0
58	0.000000	-0.111502	[-0.11150240898132324]	3.231977	375.000000	0	0
59	3.000000	0.447852	[0.44785159826278687]	3.231977	378.000000	0	0
60	6.000000	0.500000	[0.5]	3.231977	384.000000	0	0
61	0.000000	-0.500000	[-0.5]	3.231977	384.000000	0	0
62	0.000000	0.124147	[0.12414708733558655]	3.231977	384.000000	0	0
63	0.000000	0.500000	[0.5]	3.231977	384.000000	0	0
64	52.000000	0.500000	[0.5]	3.231977	436.000000	0	0
65	6.000000	0.500000	[0.5]	3.231977	442.000000	0	0
66	1.000000	-0.500000	[-0.5]	3.231977	443.000000	0	0
67	0.000000	0.247095	[0.2470952719449997]	3.231977	443.000000	0	0
68	0.000000	0.500000	[0.5]	3.231977	443.000000	0	0
69	0.000000	0.500000	[0.5]	3.231977	443.000000	0	0
70	25.000000	-0.500000	[-0.5]	3.231977	468.000000	0	0
71	0.000000	0.500000	[0.5]	3.231977	468.000000	0	0
72	15.000000	0.500000	[0.5]	3.231977	483.000000	0	0
73	6.000000	0.500000	[0.5]	3.231977	489.000000	0	0
74	0.000000	-0.500000	[-0.5]	3.231977	489.000000	0	0
75	0.000000	0.500000	[0.5]	3.231977	489.000000	0	0
76	26.000000	0.500000	[0.5]	3.231977	515.000000	0	0
77	0.000000	0.500000	[0.5]	3.231977	515.000000	0	0
