step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.500000	[-0.5]	1.781084	0.000000	0	0
2	1.000000	-0.500000	[-0.5]	1.781084	1.000000	0	0
3	0.000000	0.244117	[0.244116872549057]	1.781084	1.000000	0	0
4	0.000000	-0.500000	[-0.5]	1.781084	1.000000	0	0
5	0.000000	0.500000	[0.5]	1.781084	1.000000	0	0
6	0.000000	-0.500000	[-0.5]	1.781084	1.000000	0	0
7	0.000000	-0.500000	[-0.5]	1.781084	1.000000	0	0
8	0.000000	-0.409126	[-0.40912580490112305]	1.781084	1.000000	0	0
9	0.000000	0.500000	[0.5]	1.781084	1.000000	0	0
10	0.000000	0.450216	[0.45021554827690125]	1.781084	1.000000	0	0
11	0.000000	0.500000	[0.5]	1.781084	1.000000	0	0
12	9.000000	-0.500000	[-0.5]	1.781084	10.000000	0	0
13	10.000000	-0.500000	[-0.5]	1.781084	20.000000	0	0
14	0.000000	-0.500000	[-0.5]	1.781084	20.000000	0	0
15	0.000000	-0.500000	[-0.5]	1.781084	20.000000	0	0
16	4.000000	0.271935	[0.27193483710289]	1.781084	24.000000	0	0
17	31.000000	-0.500000	[-0.5]	1.781084	55.000000	0	0
18	0.000000	-0.322759	[-0.3227585554122925]	1.781084	55.000000	0	0
19	0.000000	-0.500000	[-0.5]	1.781084	55.000000	0	0
20	0.000000	0.259263	[0.2592630088329315]	1.781084	55.000000	0	0
21	0.000000	0.074522	[0.074522465467453]	1.781084	55.000000	0	0
22	0.000000	-0.500000	[-0.5]	1.781084	55.000000	0	0
23	1.000000	-0.500000	[-0.5]	1.781084	56.000000	0	0
24	3.000000	-0.500000	[-0.5]	1.781084	59.000000	0	0
25	6.000000	0.209326	[0.2093258798122406]	1.781084	65.000000	0	0
26	15.000000	0.500000	[0.5]	1.781084	80.000000	0	0
27	0.000000	0.500000	[0.5]	1.781084	80.000000	0	0
28	10.000000	0.500000	[0.5]	1.781084	90.000000	0	0
29	0.000000	-0.500000	[-0.5]	1.781084	90.000000	0	0
30	0.000000	-0.500000	[-0.5]	1.781084	90.000000	0	0
31	0.000000	-0.500000	[-0.5]	1.781084	90.000000	0	0
32	0.000000	-0.500000	[-0.5]	1.781084	90.000000	0	0
33	0.000000	0.500000	[0.5]	1.781084	90.000000	0	0
34	0.000000	0.194003	[0.19400301575660706]	1.781084	90.000000	0	0
35	0.000000	-0.069147	[-0.0691472589969635]	1.781084	90.000000	0	0
36	9.000000	-0.500000	[-0.5]	1.781084	99.000000	0	0
37	66.000000	-0.500000	[-0.5]	1.781084	165.000000	0	0
38	4.000000	-0.500000	[-0.5]	1.781084	169.000000	0	0
39	0.000000	-0.500000	[-0.5]	1.781084	169.000000	0	0
40	24.000000	-0.500000	[-0.5]	1.781084	193.000000	0	0
41	0.000000	-0.500000	[-0.5]	1.781084	193.000000	0	0
42	31.000000	0.500000	[0.5]	1.781084	224.000000	0	0
43	49.000000	-0.500000	[-0.5]	1.781084	273.000000	0	0
44	0.000000	-0.500000	[-0.5]	1.781084	273.000000	0	0
45	0.000000	-0.500000	[-0.5]	1.781084	273.000000	0	0
46	0.000000	-0.500000	[-0.5]	1.781084	273.000000	0	0
47	0.000000	0.500000	[0.5]	1.781084	273.000000	0	0
48	0.000000	-0.500000	[-0.5]	1.781084	273.000000	0	0
49	0.000000	-0.500000	[-0.5]	1.781084	273.000000	0	0
50	31.000000	-0.332884	[-0.3328844904899597]	1.781084	304.000000	0	0
51	0.000000	-0.500000	[-0.5]	1.781084	304.000000	0	0
52	15.000000	0.500000	[0.5]	1.781084	319.000000	0	0
53	1.000000	-0.500000	[-0.5]	1.781084	320.000000	0	0
54	0.000000	0.380590	[0.3805899918079376]	1.781084	320.000000	0	0
55	0.000000	-0.500000	[-0.5]	1.781084	320.000000	0	0
56	37.000000	-0.500000	[-0.5]	1.781084	357.000000	0	0
57	0.000000	-0.500000	[-0.5]	1.781084	357.000000	0	0
58	25.000000	-0.500000	[-0.5]	1.781084	382.000000	0	0
59	0.000000	-0.207396	[-0.20739562809467316]	1.781084	382.000000	0	0
60	0.000000	0.500000	[0.5]	1.781084	382.000000	0	0
61	0.000000	-0.500000	[-0.5]	1.781084	382.000000	0	0
62	0.000000	-0.385783	[-0.3857833743095398]	1.781084	382.000000	0	0
63	9.000000	0.325840	[0.32584020495414734]	1.781084	391.000000	0	0
64	0.000000	0.500000	[0.5]	1.781084	391.000000	0	0
65	0.000000	0.500000	[0.5]	1.781084	391.000000	0	0
66	0.000000	-0.500000	[-0.5]	1.781084	391.000000	0	0
67	15.000000	-0.318029	[-0.31802883744239807]	1.781084	406.000000	0	0
68	0.000000	0.500000	[0.5]	1.781084	406.000000	0	0
69	4.000000	0.500000	[0.5]	1.781084	410.000000	0	0
70	0.000000	-0.500000	[-0.5]	1.781084	410.000000	0	0
71	0.000000	0.500000	[0.5]	1.781084	410.000000	0	0
72	31.000000	0.413592	[0.4135924279689789]	1.781084	441.000000	0	0
73	1.000000	0.500000	[0.5]	1.781084	442.000000	0	0
74	95.000000	-0.500000	[-0.5]	1.781084	537.000000	0	0
75	52.000000	0.500000	[0.5]	1.781084	589.000000	0	0
76	0.000000	0.178177	[0.1781773865222931]	1.781084	589.000000	0	0
77	0.000000	0.500000	[0.5]	1.781084	589.000000	0	0
78	15.000000	0.500000	[0.5]	1.781084	604.000000	0	0
